day,hour,type,attendance,label
Monday,08:00,theory,85,2
Monday,10:00,theory,70,2
Monday,12:00,lab,40,1
Tuesday,09:00,theory,25,0
Tuesday,11:00,theory,55,1
Tuesday,14:00,lab,90,2
Wednesday,08:30,theory,15,0
Wednesday,10:30,theory,65,2
Wednesday,13:30,practical,35,1
Thursday,09:30,theory,95,2
Thursday,11:30,lab,45,1
Friday,08:00,theory,60,1
Friday,10:00,theory,20,0
Friday,14:00,theory,75,2
Saturday,10:00,practical,30,1
Sunday,11:00,theory,10,0
Monday,15:00,theory,88,2
Tuesday,16:00,lab,50,1
Wednesday,17:00,theory,12,0
Thursday,08:00,theory,68,2
